CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg23375593,10,1690988,ADARB2,Body,0.86,0.053,-0.0012,8.3E-04,-0.0007,3.5E-02,-0.0008,3.3E-02,3.1E-02,3.8E-01,3.6E-01,,,yes
cg19051238,12,70326318,,,0.87,0.045,-0.0011,8.3E-04,-0.0008,9.5E-03,-0.0009,1.4E-02,3.1E-02,2.2E-01,2.5E-01,,,yes
cg27292079,16,89044681,CBFA2T3,TSS1500,0.37,0.056,-0.0005,8.4E-04,-0.0004,7.0E-03,-0.0005,1.0E-03,3.1E-02,1.9E-01,6.3E-02,,,yes
cg20068535,6,151560981,AKAP12,TSS200,0.24,0.051,-0.0008,8.4E-04,-0.0003,2.1E-01,-0.0006,1.3E-02,3.1E-02,6.8E-01,2.4E-01,,,yes
cg05061650,X,129093060,,,0.63,0.066,-0.0009,8.4E-04,-0.0006,2.2E-02,-0.0006,2.4E-02,3.1E-02,3.1E-01,3.2E-01,,,yes
cg20853880,2,10184444,KLF11,Body,0.20,0.068,-0.0015,8.4E-04,-0.0011,5.6E-03,-0.0016,3.4E-04,3.1E-02,1.7E-01,3.3E-02,,,yes
cg18789636,18,14430708,,,0.46,0.096,-0.0013,8.4E-04,-0.0008,3.0E-02,-0.0008,4.9E-02,3.1E-02,3.6E-01,4.2E-01,,,yes
cg04508951,1,193456140,,,0.49,0.076,-0.0009,8.4E-04,-0.0007,8.5E-03,-0.0011,1.5E-04,3.1E-02,2.1E-01,1.9E-02,,,yes
cg08396974,20,55840416,BMP7,Body,0.27,0.047,-0.0007,8.4E-04,-0.0003,7.9E-02,-0.0005,2.5E-02,3.1E-02,5.0E-01,3.2E-01,,,yes
cg26167930,15,64363681,,,0.72,0.060,-0.0008,8.4E-04,-0.0007,1.2E-03,-0.0008,2.0E-03,3.1E-02,7.6E-02,9.3E-02,,,yes
cg03764518,10,57388402,,,0.16,0.049,-0.0009,8.4E-04,-0.0006,1.1E-02,-0.0003,1.9E-01,3.1E-02,2.4E-01,6.7E-01,,,yes
cg04803153,19,37329859,ZNF790,TSS1500,0.68,0.080,-0.0011,8.4E-04,-0.0008,1.4E-02,-0.0011,1.2E-03,3.1E-02,2.6E-01,7.1E-02,,,yes
cg00218893,17,73073239,,,0.51,0.044,-0.0006,8.4E-04,-0.0004,1.2E-02,-0.0006,8.1E-04,3.1E-02,2.4E-01,5.6E-02,,,yes
cg16710146,1,247496575,,,0.88,0.031,-0.0009,8.4E-04,-0.0007,5.5E-03,-0.0006,2.1E-02,3.1E-02,1.7E-01,3.0E-01,,,yes
cg15173443,6,33138421,COL11A2,Body,0.76,0.055,-0.0007,8.4E-04,-0.0004,7.9E-02,-0.0004,6.7E-02,3.1E-02,5.1E-01,4.7E-01,,,yes
cg23065715,2,220299659,SPEG,TSS200,0.33,0.053,-0.0007,8.4E-04,-0.0005,6.7E-03,-0.0005,3.4E-02,3.1E-02,1.9E-01,3.7E-01,,,yes
cg07574163,14,77498976,,,0.75,0.047,-0.0008,8.4E-04,-0.0006,6.9E-03,-0.0004,9.5E-02,3.1E-02,1.9E-01,5.4E-01,,,yes
cg17978425,3,10289658,TATDN2,TSS1500,0.66,0.070,-0.0011,8.4E-04,-0.0011,1.0E-04,-0.0013,6.6E-05,3.1E-02,1.6E-02,1.2E-02,,,yes
cg20645058,12,10163532,CLEC12B,Body,0.88,0.035,-0.0009,8.4E-04,-0.0008,5.6E-04,-0.0008,4.2E-03,3.1E-02,4.8E-02,1.4E-01,,,yes
cg26234543,2,62732450,TMEM17,Body,0.71,0.055,-0.0008,8.4E-04,-0.0006,6.4E-03,-0.0003,2.0E-01,3.1E-02,1.8E-01,6.8E-01,,,yes
cg03304380,8,13134144,DLC1,Body,0.08,0.067,-0.0024,8.4E-04,-0.0022,1.3E-03,-0.0022,2.9E-03,3.1E-02,8.0E-02,1.1E-01,,,yes
cg10759590,14,24898874,KHNYN,TSS1500,0.12,0.036,-0.0010,8.4E-04,-0.0003,2.1E-01,-0.0007,1.7E-02,3.1E-02,6.8E-01,2.7E-01,,,yes
cg17524162,6,32714334,HLA-DQA2,3'UTR,0.47,0.074,-0.0010,8.4E-04,-0.0008,2.2E-03,-0.0009,3.9E-03,3.1E-02,1.1E-01,1.3E-01,,,yes
cg06271128,10,34955525,PARD3,Body,0.23,0.052,-0.0009,8.4E-04,-0.0003,1.8E-01,-0.0003,2.1E-01,3.1E-02,6.5E-01,6.9E-01,,,yes
cg00176043,1,67900465,,,0.42,0.082,-0.0008,8.4E-04,-0.0006,7.0E-03,-0.0005,3.0E-02,3.1E-02,1.9E-01,3.4E-01,,,yes
cg05920420,1,29210117,,,0.88,0.036,-0.0009,8.4E-04,-0.0008,2.8E-03,-0.0008,3.7E-03,3.1E-02,1.2E-01,1.3E-01,,,yes
cg20388732,17,40439433,STAT5A,TSS200,0.09,0.030,-0.0010,8.4E-04,-0.0009,7.4E-04,-0.0009,2.7E-03,3.1E-02,5.7E-02,1.1E-01,,,yes
cg06965177,19,50885179,NR1H2,Body,0.87,0.038,-0.0010,8.4E-04,-0.0008,3.8E-03,-0.0006,8.2E-02,3.1E-02,1.4E-01,5.1E-01,,,yes
cg13523072,17,40714979,COASY,1stExon,0.27,0.072,-0.0010,8.4E-04,-0.0002,3.9E-01,-0.0003,2.9E-01,3.1E-02,8.1E-01,7.6E-01,,,yes
cg24655125,X,70326418,CXorf65,Body,0.65,0.098,-0.0011,8.4E-04,-0.0005,6.8E-02,-0.0008,1.7E-02,3.1E-02,4.8E-01,2.7E-01,,,yes
cg15014639,13,46757318,LCP1,TSS1500,0.45,0.119,-0.0017,8.4E-04,-0.0008,7.0E-02,-0.0012,2.7E-02,3.1E-02,4.9E-01,3.3E-01,,,yes
cg08761324,10,121357524,TIAL1,TSS1500,0.94,0.042,-0.0019,8.4E-04,-0.0017,9.7E-04,-0.0018,2.4E-03,3.1E-02,6.6E-02,1.0E-01,,,yes
cg08494390,4,87980297,AFF1,Body,0.76,0.061,-0.0010,8.4E-04,-0.0006,4.1E-02,-0.0005,1.1E-01,3.1E-02,4.0E-01,5.6E-01,,,yes
cg09471343,2,102884397,,,0.87,0.038,-0.0008,8.4E-04,-0.0005,9.2E-03,-0.0006,7.7E-03,3.1E-02,2.2E-01,1.9E-01,,,yes
cg25083618,10,94820988,CYP26C1,TSS200,0.59,0.062,-0.0008,8.4E-04,-0.0006,7.7E-03,-0.0006,1.4E-02,3.1E-02,2.0E-01,2.5E-01,,,yes
cg16429505,7,100488398,UFSP1,TSS1500,0.20,0.051,-0.0009,8.4E-04,-0.0006,1.3E-02,-0.0009,7.7E-04,3.1E-02,2.5E-01,5.4E-02,,,yes
cg25376310,6,158018910,ZDHHC14,Body,0.44,0.058,-0.0007,8.4E-04,-0.0004,3.0E-02,-0.0006,5.9E-03,3.1E-02,3.5E-01,1.6E-01,,,yes
cg06797156,8,124173733,,,0.15,0.044,-0.0012,8.4E-04,-0.0008,1.5E-02,-0.0012,1.2E-03,3.1E-02,2.7E-01,7.1E-02,,,yes
cg26827653,11,125366540,FEZ1,TSS1500,0.90,0.031,-0.0011,8.4E-04,-0.0009,3.1E-03,-0.0006,8.4E-02,3.1E-02,1.3E-01,5.1E-01,,,yes
cg13528289,4,1559561,,,0.75,0.056,-0.0010,8.4E-04,-0.0003,2.2E-01,-0.0006,5.8E-02,3.1E-02,6.9E-01,4.5E-01,,,yes
cg09012594,10,21464258,NEBL,TSS1500,0.48,0.074,-0.0009,8.4E-04,-0.0007,5.2E-03,-0.0007,1.9E-02,3.1E-02,1.7E-01,2.8E-01,,,yes
cg14354820,8,41691767,ANK1,Body,0.53,0.062,-0.0007,8.4E-04,-0.0002,2.1E-01,-0.0004,4.9E-02,3.1E-02,6.8E-01,4.2E-01,,,yes
cg24856537,6,32169929,NOTCH4,Body,0.77,0.042,-0.0006,8.4E-04,-0.0005,5.2E-03,-0.0003,6.3E-02,3.1E-02,1.7E-01,4.7E-01,,,yes
cg02394812,15,44092488,SERINC4,TSS1500,0.83,0.050,-0.0012,8.4E-04,-0.0010,2.7E-03,-0.0009,1.0E-02,3.1E-02,1.2E-01,2.2E-01,,,yes
cg03314604,22,37956293,CDC42EP1,TSS200,0.34,0.054,-0.0006,8.4E-04,-0.0003,1.1E-01,-0.0008,9.7E-05,3.1E-02,5.6E-01,1.5E-02,,,yes
cg16180082,6,159466542,TAGAP,TSS1500,0.30,0.073,-0.0011,8.4E-04,-0.0008,9.7E-03,-0.0010,1.5E-03,3.1E-02,2.2E-01,8.0E-02,,,yes
cg01941313,13,113120234,,,0.87,0.039,-0.0010,8.4E-04,-0.0010,2.6E-04,-0.0009,2.9E-03,3.1E-02,3.0E-02,1.1E-01,,,yes
cg22986178,11,66034784,KLC2,3'UTR,0.31,0.112,-0.0013,8.4E-04,-0.0010,5.2E-03,-0.0013,1.7E-03,3.1E-02,1.7E-01,8.6E-02,,,yes
cg18847009,2,70175826,,,0.46,0.067,-0.0009,8.4E-04,-0.0007,3.6E-03,-0.0009,7.5E-04,3.1E-02,1.4E-01,5.3E-02,,,yes
cg18862566,6,45391916,RUNX2,Body,0.31,0.068,-0.0007,8.4E-04,-0.0004,4.7E-02,-0.0004,1.0E-01,3.1E-02,4.2E-01,5.5E-01,,,yes
cg20664638,5,76170418,S100Z,5'UTR,0.71,0.070,-0.0010,8.4E-04,-0.0008,3.1E-03,-0.0011,9.8E-04,3.2E-02,1.3E-01,6.2E-02,,,yes
cg07169826,7,142334043,,,0.60,0.051,-0.0007,8.4E-04,-0.0004,2.9E-02,-0.0005,1.1E-02,3.2E-02,3.5E-01,2.2E-01,,,yes
cg01544877,6,136609152,BCLAF1,5'UTR,0.79,0.088,-0.0016,8.4E-04,-0.0011,1.3E-02,-0.0009,8.4E-02,3.2E-02,2.5E-01,5.1E-01,,,yes
cg12874035,3,49908776,CAMKV,TSS1500,0.82,0.054,-0.0010,8.4E-04,-0.0009,9.4E-04,-0.0011,5.7E-04,3.2E-02,6.6E-02,4.5E-02,,,yes
cg13755204,9,136844768,VAV2,Body,0.87,0.053,-0.0013,8.4E-04,-0.0008,2.6E-02,-0.0011,9.4E-03,3.2E-02,3.4E-01,2.1E-01,,,yes
cg22061832,2,173293627,ITGA6,Body,0.38,0.103,-0.0010,8.4E-04,-0.0009,1.8E-03,-0.0005,1.4E-01,3.2E-02,9.4E-02,6.2E-01,,,yes
cg26153885,21,35735518,KCNE2,TSS1500,0.88,0.030,-0.0009,8.4E-04,-0.0006,1.1E-02,-0.0006,2.8E-02,3.2E-02,2.3E-01,3.4E-01,,,yes
cg23009780,2,96774492,,,0.73,0.046,-0.0008,8.4E-04,-0.0005,2.0E-02,-0.0005,2.2E-02,3.2E-02,3.0E-01,3.1E-01,,,yes
cg24075096,1,114661683,SYT6,Body,0.93,0.025,-0.0015,8.4E-04,-0.0011,9.3E-03,-0.0010,2.5E-02,3.2E-02,2.2E-01,3.2E-01,,,yes
cg21375017,3,31988082,OSBPL10,Body,0.93,0.030,-0.0010,8.4E-04,-0.0006,4.2E-02,-0.0008,1.3E-02,3.2E-02,4.0E-01,2.4E-01,,,yes
cg21139003,2,33173301,LTBP1,Body,0.81,0.043,-0.0008,8.4E-04,-0.0005,2.4E-02,-0.0002,4.0E-01,3.2E-02,3.2E-01,8.2E-01,,,yes
cg07525764,13,30707119,,,0.78,0.043,-0.0007,8.4E-04,-0.0005,8.0E-03,-0.0004,8.4E-02,3.2E-02,2.0E-01,5.1E-01,,,yes
cg18165251,10,85961024,PCDH21,Body,0.85,0.034,-0.0007,8.4E-04,-0.0003,1.9E-01,-0.0003,1.3E-01,3.2E-02,6.6E-01,6.0E-01,,,yes
cg18414429,19,3505367,FZR1,TSS1500,0.51,0.035,-0.0004,8.4E-04,-0.0003,7.0E-03,-0.0001,3.5E-01,3.2E-02,1.9E-01,7.9E-01,,,yes
cg03611551,11,66841536,,,0.76,0.051,-0.0009,8.4E-04,-0.0007,3.1E-03,-0.0006,2.2E-02,3.2E-02,1.3E-01,3.0E-01,,,yes
cg14355654,8,117781276,UTP23,Body,0.82,0.051,-0.0011,8.4E-04,-0.0009,3.2E-03,-0.0008,2.1E-02,3.2E-02,1.3E-01,3.0E-01,,,yes
cg14386312,19,58740861,ZNF544,5'UTR,0.72,0.057,-0.0009,8.5E-04,-0.0007,3.9E-03,-0.0007,7.0E-03,3.2E-02,1.4E-01,1.8E-01,,,yes
cg05852888,5,141075426,,,0.88,0.035,-0.0010,8.5E-04,-0.0006,4.4E-02,-0.0003,3.2E-01,3.2E-02,4.1E-01,7.8E-01,,,yes
cg13318241,6,3455537,SLC22A23,Body,0.74,0.057,-0.0010,8.5E-04,-0.0005,4.0E-02,-0.0007,2.1E-02,3.2E-02,3.9E-01,3.0E-01,,,yes
cg23848052,15,66318701,MEGF11,Body,0.67,0.079,-0.0012,8.5E-04,-0.0009,3.9E-03,-0.0012,7.1E-04,3.2E-02,1.4E-01,5.1E-02,,,yes
cg04614459,10,104427770,,,0.92,0.025,-0.0011,8.5E-04,-0.0007,1.5E-02,-0.0007,3.0E-02,3.2E-02,2.7E-01,3.5E-01,,,yes
cg26104690,7,106708700,PRKAR2B,Body,0.92,0.033,-0.0010,8.5E-04,-0.0009,8.0E-04,-0.0011,3.7E-04,3.2E-02,6.0E-02,3.5E-02,,,yes
cg26289788,3,8818056,,,0.66,0.085,-0.0010,8.5E-04,-0.0006,3.8E-02,-0.0008,9.1E-03,3.2E-02,3.9E-01,2.0E-01,,,yes
cg18367631,7,653309,PRKAR1B,Body,0.60,0.103,-0.0014,8.5E-04,-0.0011,5.3E-03,-0.0010,1.5E-02,3.2E-02,1.7E-01,2.6E-01,,,yes
cg21913886,1,15485346,TMEM51,5'UTR,0.88,0.035,-0.0010,8.5E-04,-0.0008,4.4E-03,-0.0013,5.8E-05,3.2E-02,1.5E-01,1.1E-02,,,yes
cg20494635,11,2012071,LOC100133545,TSS1500,0.60,0.048,-0.0006,8.5E-04,-0.0007,5.6E-05,-0.0009,1.2E-05,3.2E-02,1.1E-02,3.7E-03,,,yes
cg07918080,6,163998574,,,0.77,0.057,-0.0011,8.5E-04,-0.0010,1.1E-03,-0.0016,2.6E-06,3.2E-02,7.0E-02,1.3E-03,,,yes
cg04922154,7,27284348,EVX1,Body,0.34,0.041,-0.0006,8.5E-04,-0.0004,1.8E-02,-0.0005,1.7E-02,3.2E-02,2.9E-01,2.7E-01,,,yes
cg09854515,4,111554385,PITX2,5'UTR,0.21,0.063,-0.0013,8.5E-04,-0.0009,1.5E-02,-0.0010,1.4E-02,3.2E-02,2.7E-01,2.5E-01,,,yes
cg07196426,1,36042433,TFAP2E,Body,0.55,0.070,-0.0007,8.5E-04,-0.0005,2.8E-02,-0.0005,1.8E-02,3.2E-02,3.5E-01,2.8E-01,,,yes
cg24523000,5,161273839,GABRA1,TSS1500,0.40,0.089,-0.0013,8.5E-04,-0.0012,9.6E-04,-0.0015,1.9E-04,3.2E-02,6.6E-02,2.3E-02,,,yes
cg13563026,4,47512538,ATP10D,5'UTR,0.34,0.059,-0.0007,8.5E-04,-0.0005,1.2E-02,-0.0006,9.1E-03,3.2E-02,2.4E-01,2.0E-01,,,yes
cg07342322,1,192508724,,,0.39,0.064,-0.0009,8.5E-04,-0.0004,1.0E-01,-0.0007,1.3E-02,3.2E-02,5.5E-01,2.4E-01,,,yes
cg21025113,11,46270542,,,0.73,0.040,-0.0005,8.5E-04,-0.0004,1.5E-02,-0.0005,4.8E-03,3.2E-02,2.7E-01,1.5E-01,,,yes
cg17650523,3,134093850,AMOTL2,TSS1500,0.14,0.040,-0.0010,8.5E-04,-0.0006,3.0E-02,-0.0005,1.5E-01,3.2E-02,3.6E-01,6.2E-01,,,yes
cg01516792,17,78779140,RPTOR,Body,0.90,0.039,-0.0012,8.5E-04,-0.0008,1.7E-02,-0.0010,1.1E-02,3.2E-02,2.8E-01,2.2E-01,,,yes
cg17456304,4,1160842,SPON2,3'UTR,0.49,0.049,-0.0006,8.5E-04,-0.0004,1.4E-02,-0.0004,3.6E-02,3.2E-02,2.6E-01,3.7E-01,,,yes
cg19314992,11,76614479,ACER3,Body,0.75,0.060,-0.0008,8.5E-04,-0.0007,2.5E-03,-0.0008,2.0E-03,3.2E-02,1.1E-01,9.2E-02,,,yes
cg23181133,19,42300812,CEACAM3,Body,0.54,0.099,-0.0008,8.5E-04,-0.0006,4.7E-03,-0.0006,1.4E-02,3.2E-02,1.6E-01,2.5E-01,,,yes
cg04298857,5,14364935,TRIO,Body,0.69,0.048,-0.0007,8.5E-04,-0.0007,6.3E-04,-0.0006,1.3E-02,3.2E-02,5.2E-02,2.4E-01,,,yes
cg03980370,6,139117543,,,0.79,0.042,-0.0008,8.5E-04,-0.0007,3.0E-03,-0.0006,1.3E-02,3.2E-02,1.2E-01,2.4E-01,,,yes
cg04322572,10,43447618,,,0.86,0.046,-0.0013,8.5E-04,-0.0011,1.5E-03,-0.0005,2.3E-01,3.2E-02,8.6E-02,7.1E-01,,,yes
cg25230235,19,36604764,POLR2I,Body,0.96,0.018,-0.0018,8.5E-04,-0.0017,6.2E-04,-0.0008,1.8E-01,3.2E-02,5.1E-02,6.6E-01,,,yes
cg25182165,17,55191642,AKAP1,Body,0.59,0.052,-0.0006,8.5E-04,-0.0006,1.7E-03,-0.0006,1.3E-03,3.2E-02,9.2E-02,7.2E-02,,,yes
cg09168604,10,88127188,GRID1,TSS1500,0.25,0.047,-0.0008,8.5E-04,-0.0004,6.6E-02,-0.0006,1.3E-02,3.2E-02,4.7E-01,2.4E-01,,,yes
cg01832737,6,166075022,PDE10A,Body,0.15,0.052,-0.0011,8.5E-04,-0.0008,5.9E-03,-0.0009,1.2E-02,3.2E-02,1.8E-01,2.3E-01,,,yes
cg13490729,14,23779307,BCL2L2,3'UTR,0.87,0.030,-0.0007,8.5E-04,-0.0007,1.1E-03,-0.0008,5.9E-04,3.2E-02,6.9E-02,4.6E-02,,,yes
cg03208489,11,63647865,MARK2,Body,0.85,0.039,-0.0008,8.5E-04,-0.0008,3.2E-04,-0.0005,4.0E-02,3.2E-02,3.4E-02,3.9E-01,,,yes
cg04623270,16,58150017,C16orf80,Body,0.68,0.056,-0.0006,8.5E-04,-0.0004,2.5E-02,-0.0006,3.3E-03,3.2E-02,3.3E-01,1.2E-01,,,yes
cg25972591,19,58627987,ZSCAN18,Body,0.94,0.022,-0.0013,8.5E-04,-0.0008,2.1E-02,-0.0006,1.4E-01,3.2E-02,3.1E-01,6.2E-01,,,yes
cg15368872,12,10525233,KLRK1,3'UTR,0.36,0.062,-0.0008,8.5E-04,-0.0006,1.2E-02,-0.0003,1.6E-01,3.2E-02,2.4E-01,6.4E-01,,,yes
cg23228481,6,32137188,AGPAT1,Body,0.80,0.047,-0.0009,8.5E-04,-0.0007,5.5E-03,-0.0008,3.3E-03,3.2E-02,1.7E-01,1.2E-01,,,yes
cg17632937,22,30476326,HORMAD2,TSS200,0.48,0.050,-0.0004,8.5E-04,-0.0004,4.7E-03,-0.0005,6.4E-04,3.2E-02,1.6E-01,4.8E-02,,,yes
cg09519134,13,112212075,,,0.68,0.054,-0.0009,8.5E-04,-0.0009,3.0E-04,-0.0008,3.1E-03,3.2E-02,3.3E-02,1.2E-01,,,yes
cg11300147,12,7596703,CD163L1,1stExon,0.47,0.081,-0.0011,8.5E-04,-0.0005,7.8E-02,-0.0008,2.2E-02,3.2E-02,5.0E-01,3.0E-01,,,yes
cg14259902,19,11489054,EPOR,Body,0.83,0.036,-0.0007,8.5E-04,-0.0006,4.1E-03,-0.0007,3.7E-03,3.2E-02,1.5E-01,1.3E-01,,,yes
cg08202399,16,14280512,MKL2,Body,0.65,0.045,-0.0006,8.5E-04,-0.0005,2.2E-03,-0.0007,4.7E-04,3.2E-02,1.1E-01,4.0E-02,,,yes
cg03736062,4,113208476,TIFA,TSS1500,0.83,0.052,-0.0009,8.5E-04,-0.0007,7.4E-03,-0.0008,6.8E-03,3.2E-02,2.0E-01,1.8E-01,,,yes
cg10462778,5,172314133,ERGIC1,Body,0.67,0.107,-0.0008,8.5E-04,-0.0005,2.7E-02,-0.0009,3.7E-04,3.2E-02,3.4E-01,3.5E-02,,,yes
cg23531734,2,178152961,LOC100130691,Body,0.91,0.027,-0.0010,8.5E-04,-0.0006,4.6E-02,-0.0008,1.3E-02,3.2E-02,4.2E-01,2.4E-01,,,yes
cg23808337,7,158267402,PTPRN2,Body,0.86,0.035,-0.0009,8.5E-04,-0.0004,6.2E-02,-0.0004,1.8E-01,3.2E-02,4.6E-01,6.7E-01,,,yes
cg14876517,11,66788192,,,0.63,0.043,-0.0006,8.5E-04,-0.0006,1.8E-04,-0.0004,1.5E-02,3.2E-02,2.4E-02,2.6E-01,,,yes
cg05528339,2,64064409,,,0.61,0.112,-0.0010,8.6E-04,-0.0008,4.3E-03,-0.0006,3.4E-02,3.2E-02,1.5E-01,3.7E-01,,,yes
cg18287066,1,240671647,GREM2,5'UTR,0.66,0.070,-0.0008,8.6E-04,-0.0007,2.0E-03,-0.0011,3.3E-05,3.2E-02,1.0E-01,7.5E-03,,,yes
cg09125127,7,2549030,,,0.52,0.066,-0.0008,8.6E-04,-0.0006,8.1E-03,-0.0010,6.4E-05,3.2E-02,2.0E-01,1.1E-02,,,yes
cg25013053,17,33475031,UNC45B,5'UTR,0.93,0.021,-0.0011,8.6E-04,-0.0010,1.8E-03,-0.0010,5.0E-03,3.2E-02,9.5E-02,1.5E-01,,,yes
cg09155905,17,33447236,FNDC8,TSS1500,0.25,0.051,-0.0009,8.6E-04,-0.0008,1.9E-03,-0.0008,5.0E-03,3.2E-02,9.7E-02,1.5E-01,,,yes
cg04399631,3,12269362,,,0.78,0.049,-0.0009,8.6E-04,-0.0005,3.2E-02,-0.0004,1.3E-01,3.2E-02,3.7E-01,6.0E-01,,,yes
cg03695871,11,65547172,DKFZp761E198,1stExon,0.58,0.101,-0.0008,8.6E-04,-0.0005,5.0E-02,-0.0004,1.7E-01,3.2E-02,4.3E-01,6.5E-01,,,yes
cg02975463,2,45178953,,,0.50,0.079,-0.0010,8.6E-04,-0.0004,2.1E-01,-0.0006,4.0E-02,3.2E-02,6.8E-01,3.9E-01,,,yes
cg10530889,10,93805590,,,0.56,0.065,-0.0007,8.6E-04,-0.0006,3.5E-03,-0.0007,6.3E-04,3.2E-02,1.4E-01,4.8E-02,,,yes
cg08685909,20,57559409,TH1L,Body,0.45,0.046,-0.0006,8.6E-04,-0.0005,3.5E-03,-0.0004,1.8E-02,3.2E-02,1.4E-01,2.8E-01,,,yes
cg23562261,8,49647833,EFCAB1,5'UTR,0.08,0.047,-0.0017,8.6E-04,-0.0011,2.1E-02,-0.0011,4.2E-02,3.2E-02,3.1E-01,4.0E-01,,,yes
cg23594656,7,65796392,TPST1,Body,0.84,0.072,-0.0018,8.6E-04,-0.0015,3.1E-03,-0.0009,1.3E-01,3.2E-02,1.3E-01,5.9E-01,,,yes
cg07128021,10,80824237,LOC283050,Body,0.52,0.085,-0.0005,8.6E-04,-0.0005,1.8E-03,-0.0005,5.5E-03,3.2E-02,9.4E-02,1.6E-01,,,yes
cg01396723,19,45146828,PVR,TSS1500,0.18,0.048,-0.0011,8.6E-04,-0.0007,2.5E-02,-0.0003,3.3E-01,3.2E-02,3.3E-01,7.8E-01,,,yes
cg00779243,19,12146829,ZNF433,TSS1500,0.13,0.035,-0.0008,8.6E-04,-0.0004,7.6E-02,-0.0003,1.7E-01,3.2E-02,5.0E-01,6.5E-01,,,yes
cg04772644,6,33165428,RXRB,Body,0.15,0.047,-0.0012,8.6E-04,-0.0008,1.1E-02,-0.0010,8.2E-03,3.2E-02,2.4E-01,1.9E-01,,,yes
cg00677986,12,80084523,PAWR,5'UTR,0.07,0.026,-0.0010,8.6E-04,-0.0009,1.2E-03,-0.0009,8.3E-03,3.2E-02,7.5E-02,1.9E-01,,,yes
cg00668927,7,74202486,NCF1,Body,0.22,0.046,-0.0007,8.6E-04,-0.0005,7.4E-03,-0.0007,4.4E-03,3.2E-02,2.0E-01,1.4E-01,,,yes
cg17393267,3,192127356,FGF12,TSS1500,0.06,0.039,-0.0016,8.6E-04,-0.0007,1.2E-01,-0.0003,5.9E-01,3.2E-02,5.8E-01,9.0E-01,,,yes
cg19478371,14,102310830,PPP2R5C,Body,0.90,0.034,-0.0008,8.6E-04,-0.0006,7.8E-03,-0.0005,3.9E-02,3.2E-02,2.0E-01,3.9E-01,,,yes
cg21500064,20,46415859,SULF2,TSS1500,0.80,0.051,-0.0010,8.6E-04,-0.0006,2.6E-02,-0.0005,1.3E-01,3.2E-02,3.4E-01,5.9E-01,,,yes
cg00210249,10,71135679,HK1,Body,0.79,0.057,0.0011,8.6E-04,0.0010,9.2E-04,0.0012,8.7E-04,3.2E-02,6.5E-02,5.8E-02,,,yes
cg15194935,19,10405955,ICAM5,Body,0.42,0.061,-0.0008,8.6E-04,-0.0006,1.3E-02,-0.0008,2.0E-03,3.2E-02,2.5E-01,9.4E-02,,,yes
cg00864684,10,125825166,,,0.81,0.048,-0.0010,8.6E-04,-0.0008,3.0E-03,-0.0012,7.5E-05,3.2E-02,1.2E-01,1.3E-02,,,yes
cg15706973,2,111633044,ACOXL,Body,0.84,0.044,-0.0008,8.6E-04,-0.0008,4.8E-04,-0.0008,8.0E-04,3.2E-02,4.4E-02,5.5E-02,,,yes
cg13732465,9,139549756,,,0.59,0.053,-0.0005,8.6E-04,-0.0006,9.1E-05,-0.0003,2.8E-02,3.2E-02,1.5E-02,3.4E-01,,,yes
cg05766251,17,37024760,LASP1,TSS1500,0.26,0.058,-0.0007,8.6E-04,-0.0005,1.0E-02,-0.0007,3.3E-03,3.2E-02,2.3E-01,1.2E-01,,,yes
cg04793272,11,119020941,ABCG4,Body,0.53,0.039,-0.0005,8.6E-04,-0.0005,1.7E-04,-0.0005,3.2E-04,3.2E-02,2.3E-02,3.2E-02,,,yes
cg17760405,6,100915191,,,0.15,0.044,-0.0010,8.6E-04,-0.0007,1.8E-02,-0.0005,1.3E-01,3.2E-02,2.9E-01,6.0E-01,,,yes
cg23291039,4,25808901,SEL1L3,Body,0.84,0.036,-0.0009,8.6E-04,-0.0007,2.7E-03,-0.0009,8.5E-04,3.2E-02,1.2E-01,5.7E-02,,,yes
cg23212590,1,42645349,FOXJ3,3'UTR,0.74,0.061,-0.0009,8.6E-04,-0.0005,2.4E-02,-0.0003,2.3E-01,3.2E-02,3.3E-01,7.1E-01,,,yes
cg08829007,12,55353521,KIAA0748,3'UTR,0.60,0.058,-0.0008,8.6E-04,-0.0005,2.8E-02,-0.0007,5.3E-03,3.2E-02,3.5E-01,1.5E-01,,,yes
cg14672084,5,140857941,PCDHGA4,Body,0.87,0.058,-0.0018,8.6E-04,-0.0017,7.6E-04,-0.0016,4.3E-03,3.2E-02,5.8E-02,1.4E-01,,,yes
cg25886479,11,50257625,LOC441601,Body,0.71,0.080,-0.0014,8.6E-04,-0.0011,6.3E-03,-0.0010,2.6E-02,3.2E-02,1.8E-01,3.3E-01,,,yes
cg01177854,16,68270387,ESRP2,TSS1500,0.22,0.047,-0.0007,8.6E-04,-0.0004,1.3E-02,-0.0005,1.6E-02,3.2E-02,2.5E-01,2.7E-01,,,yes
cg08158976,1,228297975,MRPL55,TSS1500,0.33,0.078,-0.0010,8.6E-04,-0.0007,8.8E-03,-0.0005,7.8E-02,3.2E-02,2.1E-01,5.0E-01,,,yes
cg19820609,19,55998931,NAT14,3'UTR,0.86,0.040,-0.0009,8.6E-04,-0.0005,4.2E-02,-0.0012,1.8E-05,3.2E-02,4.0E-01,5.0E-03,,,yes
