ID,Zscore,P.value,Direction,geneSymbol,CHR,MAPINFO,
cg07125635,-6.44,1.19E-10,--,CHRM5,chr15,34356536,
cg07235958,6.44,1.19E-10,++,,chr1,155974953,
cg21995503,-6.44,1.20E-10,--,RREB1;RREB1;RREB1;RREB1,chr6,7151761,
cg04459437,6.44,1.20E-10,++,,chr17,37365365,
cg10692140,-6.44,1.21E-10,--,,chr6,30496072,
cg04818770,6.44,1.21E-10,++,C14orf159;C14orf159;C14orf159;C14orf159;C14orf159;C14orf159;C14orf159;C14orf159;C14orf159,chr14,91593945,
cg22796265,-6.44,1.22E-10,--,OSBPL3;OSBPL3;OSBPL3;OSBPL3,chr7,24963055,
cg16413763,-6.44,1.22E-10,--,MYO10,chr5,16737972,
cg23050544,-6.44,1.22E-10,--,HDAC9;HDAC9;HDAC9;HDAC9;HDAC9;HDAC9;HDAC9;HDAC9;HDAC9,chr7,18616991,
cg03117379,-6.44,1.23E-10,--,SNORD17;SNX5;SNX5,chr20,17943971,
cg07719604,6.44,1.23E-10,++,ELMO3;E2F4,chr16,67232460,
cg24052718,6.44,1.23E-10,++,RPS24,chr10,79808363,
cg09743650,6.44,1.23E-10,++,KIAA0182;KIAA0182,chr16,85675160,
cg01751040,-6.43,1.24E-10,--,,chr14,30683487,
cg04172771,-6.43,1.25E-10,--,SNTG1,chr8,50892702,
cg24600366,-6.43,1.25E-10,--,CYB5B,chr16,69482837,
cg09954473,-6.43,1.25E-10,--,LOC101927156,chr2,182245509,
cg13975437,-6.43,1.26E-10,--,IDO2,chr8,39821572,
cg18702655,6.43,1.26E-10,++,SCIMP;SCIMP;LOC100130950,chr17,5138293,
cg04569152,6.43,1.27E-10,++,FLJ10357,chr14,21555603,
cg10256405,-6.43,1.30E-10,--,LINC01114,chr2,105374275,
cg22254552,-6.43,1.30E-10,--,RASSF3;RASSF3,chr12,65013926,
cg03285845,-6.43,1.31E-10,--,ETV6,chr12,11903053,
cg20866785,-6.43,1.31E-10,--,ARHGAP10,chr4,148733880,
cg25298754,-6.43,1.31E-10,--,ZBED2;CD96;CD96,chr3,111314102,
cg15384772,6.43,1.32E-10,++,,chr1,235107121,
cg15104126,6.42,1.33E-10,++,VWF,chr12,6150167,
cg22717779,-6.42,1.33E-10,--,RABGAP1,chr9,125808911,
cg06893362,-6.42,1.34E-10,--,C20orf199;C20orf199;SNORD12;C20orf199,chr20,47897124,
cg26915351,6.42,1.34E-10,++,ATG9A;ATG9A,chr2,220089491,
cg11927233,-6.42,1.35E-10,--,NPM1;NPM1;NPM1,chr5,170816542,
cg09940677,6.42,1.35E-10,++,CDC42BPB,chr14,103415458,
cg09363017,-6.42,1.36E-10,--,CLIC5;CLIC5;CLIC5;CLIC5;CLIC5;CLIC5,chr6,45889857,
cg05520259,-6.42,1.37E-10,--,MEF2C;MEF2C;MEF2C;MEF2C;MEF2C;MEF2C;MEF2C,chr5,88104209,
cg12710152,6.42,1.38E-10,++,LCK,chr1,32716773,
cg19558480,6.42,1.38E-10,++,TSTA3;TSTA3,chr8,144695693,
cg09386050,6.42,1.39E-10,++,HEATR2,chr7,809078,
cg19728382,6.41,1.41E-10,++,STC2,chr5,172757276,
cg27073896,-6.41,1.43E-10,--,FOXO1,chr13,41162477,
cg10908546,-6.41,1.43E-10,--,,chr15,51479693,
cg08761535,-6.41,1.46E-10,--,ZNRF1,chr16,75079000,
cg06370827,-6.41,1.47E-10,--,ARHGAP10,chr4,148981971,
cg00704780,6.41,1.48E-10,++,HDLBP;HDLBP,chr2,242207920,
cg14438453,-6.41,1.48E-10,--,DAAM2,chr6,39786566,
cg26064307,-6.41,1.49E-10,--,TENM2,chr5,167564572,
cg16071713,-6.41,1.50E-10,--,C21orf96;RUNX1,chr21,36412456,
cg12378285,-6.41,1.50E-10,--,,chr2,136808729,
cg15848159,6.40,1.53E-10,++,WDFY3;WDFY3,chr4,85791643,
cg09511513,-6.40,1.54E-10,--,ATP6V1B2,chr8,20060014,
cg09788082,6.40,1.54E-10,++,SBNO2,chr19,1163485,
cg21806732,6.40,1.56E-10,++,SEPT5;SEPT5;SEPT5-GP1BB;SEPT5-GP1BB,chr22,19706850,
cg24391385,-6.40,1.58E-10,--,,chr2,65526509,
cg26327284,6.40,1.59E-10,++,,chr4,37887255,
cg24029291,6.40,1.60E-10,++,SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1,chr10,97093943,
cg04625834,-6.39,1.62E-10,--,BTBD19;TCTEX1D4,chr1,45273055,
cg15585021,-6.39,1.63E-10,--,,chr14,22465703,
cg07229212,6.39,1.64E-10,++,XKR6,chr8,11056726,
cg23015991,-6.39,1.64E-10,--,PDE3A,chr12,20556313,
cg15763258,-6.39,1.65E-10,--,FLI1,chr11,128561675,
cg23317297,-6.39,1.66E-10,--,AKR1A1;AKR1A1;AKR1A1;AKR1A1,chr1,46016189,
cg05261851,6.39,1.67E-10,++,SLC12A4;SLC12A4;SLC12A4;SLC12A4,chr16,68001206,
cg24190072,-6.39,1.67E-10,--,EZH2;EZH2;EZH2;EZH2;EZH2,chr7,148553512,
cg23048788,6.39,1.67E-10,++,WDR77,chr1,111984275,
cg15800420,6.39,1.68E-10,++,,chr17,47528166,
cg19350358,6.39,1.68E-10,++,HSPG2;HSPG2,chr1,22210755,
cg06589222,-6.39,1.71E-10,--,CTPS1;CTPS1,chr1,41446660,
cg09127330,6.38,1.72E-10,++,ELL,chr19,18587766,
cg01057898,6.38,1.76E-10,++,SEPT5;SEPT5;SEPT5-GP1BB;SEPT5-GP1BB,chr22,19706868,
cg04048912,6.38,1.77E-10,++,C1QTNF5;C1QTNF5;MFRP,chr11,119212363,
cg27186231,-6.38,1.80E-10,--,NR1H4;NR1H4;NR1H4;NR1H4,chr12,100866177,
cg18101914,6.38,1.81E-10,++,TMEM184A,chr7,1585465,
cg20040976,6.37,1.85E-10,++,,chr15,70766226,
cg22536332,6.37,1.85E-10,++,,chr1,159761162,
cg13961959,-6.37,1.86E-10,--,PIK3R1,chr5,67544797,
cg01307360,-6.37,1.87E-10,--,PDE1C,chr7,32334947,
cg06607738,-6.37,1.88E-10,--,FOXP1;FOXP1;FOXP1;FOXP1,chr3,71600536,
cg10980948,6.37,1.89E-10,++,C17orf62;C17orf62;C17orf62,chr17,80402614,
cg07569906,-6.37,1.89E-10,--,CDK14;CDK14;CDK14;CDK14,chr7,90379349,
cg09199323,-6.37,1.90E-10,--,SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1,chr12,46660338,
cg08666638,6.37,1.90E-10,++,,chr10,20071730,
cg04961225,6.37,1.93E-10,++,,chr12,91332479,
cg20432206,6.37,1.94E-10,++,ESRRA;ESRRA;ESRRA,chr11,64081158,
cg19221903,6.36,1.98E-10,++,LOC101928283,chr7,124996163,
cg08436828,6.36,1.98E-10,++,MAP3K11,chr11,65379891,
cg24176647,-6.36,1.98E-10,--,ARL15,chr5,53359105,
cg22196750,-6.36,2.05E-10,--,LNPEP;LNPEP,chr5,96309629,
cg10369245,6.36,2.08E-10,++,TLN1;TLN1,chr9,35718903,
cg11265216,-6.35,2.10E-10,--,,chr1,221631956,
cg04037750,6.35,2.17E-10,++,STK11IP,chr2,220472938,
cg12426640,6.35,2.21E-10,++,XYLB,chr3,38415918,
cg12470768,-6.35,2.22E-10,--,BASP1;BASP1,chr5,17225041,
cg25119028,-6.35,2.22E-10,--,,chr17,47910989,
cg05432903,6.35,2.22E-10,++,,chr13,52385804,
cg13584258,-6.34,2.28E-10,--,SEMA4D;SEMA4D,chr9,92040726,
cg12501754,-6.34,2.32E-10,--,PTPRG,chr3,62051875,
cg08529481,6.34,2.33E-10,++,STK40,chr1,36832173,
cg00944421,-6.34,2.33E-10,--,ESRP2,chr16,68269483,
cg07470763,-6.34,2.37E-10,--,SETBP1,chr18,42494328,
cg24339395,6.34,2.37E-10,++,,chr14,35844969,
cg16934140,6.34,2.38E-10,++,,chr9,37503918,
cg18179862,-6.33,2.38E-10,--,PGS1;PGS1;PGS1;PGS1,chr17,76381935,
cg04367503,-6.33,2.38E-10,--,NFIX,chr19,13121571,
cg15262253,6.33,2.38E-10,++,FUT11;FUT11;SEC24C;SEC24C,chr10,75530708,
cg24598712,6.33,2.41E-10,++,FBRSL1,chr12,133072859,
cg06774729,-6.33,2.42E-10,--,,chr10,48478612,
cg25293430,-6.33,2.44E-10,--,ANK2,chr4,113810918,
cg25471682,6.33,2.45E-10,++,,chr3,48181988,
cg12073319,6.33,2.46E-10,++,FGFBP2,chr4,15965025,
cg16791767,6.33,2.49E-10,++,ZSCAN21,chr7,99650954,
cg03759239,6.33,2.50E-10,++,RGS13;RGS13,chr1,192626671,
cg09056595,-6.33,2.52E-10,--,,chr7,106452600,
cg04682775,6.32,2.54E-10,++,SLC6A9,chr1,44495089,
cg01886663,6.32,2.56E-10,++,RPTOR;RPTOR,chr17,78846179,
cg20484086,-6.32,2.57E-10,--,,chr1,227015727,
cg13812164,-6.32,2.59E-10,--,ACSBG1;ACSBG1,chr15,78463993,
cg00604410,-6.32,2.60E-10,--,SMAD3;SMAD3,chr15,67417899,
cg18153135,-6.32,2.61E-10,--,ANKRD13D;ANKRD13D,chr11,67060710,
cg05126055,6.32,2.62E-10,++,CDC6,chr17,38457763,
cg20348000,-6.32,2.64E-10,--,BMPR1A,chr10,88615964,
cg14191882,-6.32,2.68E-10,--,INPP4B;INPP4B,chr4,143288686,
cg23995346,6.31,2.73E-10,++,,chr20,48669289,
cg06996423,6.31,2.74E-10,++,CALHM3,chr10,105236233,
cg07200063,-6.31,2.76E-10,--,,chr14,34550871,
cg15732078,-6.31,2.77E-10,--,CCSER2;CCSER2;CCSER2,chr10,86097061,
cg03482769,6.31,2.78E-10,++,RAVER1;ICAM3,chr19,10445593,
cg26574777,6.31,2.78E-10,++,PCCA;PCCA,chr13,100927476,
cg14613901,-6.31,2.78E-10,--,,chr20,52238380,
cg05008895,6.31,2.79E-10,++,UNKL;UNKL,chr16,1458735,
cg13866253,-6.31,2.85E-10,--,PAK1;PAK1,chr11,77093001,
cg26115531,-6.30,2.94E-10,--,,chr12,48340533,
cg05791656,6.30,2.94E-10,++,HDAC4,chr2,239977796,
cg19744173,6.30,2.95E-10,++,FBLN7;FBLN7,chr2,112913178,
cg09728489,-6.30,3.05E-10,--,LMNB1;LMNB1,chr5,126130264,
cg24134897,6.30,3.06E-10,++,TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4,chr11,859670,
cg22104103,-6.29,3.10E-10,--,C21orf34;C21orf34,chr21,17565450,
cg17585031,-6.29,3.12E-10,--,KSR1,chr17,25798942,
cg20505728,-6.29,3.21E-10,--,,chr3,43800538,
cg08956232,-6.29,3.22E-10,--,LDLRAD3;LDLRAD3;LDLRAD3,chr11,35990499,
cg23650661,6.29,3.23E-10,++,,chr9,92692350,
cg18463452,6.29,3.25E-10,++,RTF1;RTF1,chr15,41766831,
cg05475649,-6.29,3.26E-10,--,B2M,chr15,45007015,
cg00028013,-6.29,3.28E-10,--,LOXL1,chr15,74218697,
cg21452109,6.28,3.35E-10,++,,chr2,100878303,
cg25463483,6.28,3.36E-10,++,PRR3;PRR3,chr6,30530544,
cg07561162,6.28,3.39E-10,++,GRIN2A;GRIN2A;GRIN2A,chr16,10174417,
cg27337724,6.28,3.39E-10,++,,chr1,225653032,
cg18555173,6.28,3.45E-10,++,FUK,chr16,70502973,
cg24382141,6.28,3.47E-10,++,PSKH1,chr16,67944348,
cg06186155,6.27,3.51E-10,++,HOXB3,chr17,46648582,
cg05922723,6.27,3.51E-10,++,GIGYF1,chr7,100285650,
cg06395298,6.27,3.54E-10,++,HOXB3;HOXB3,chr17,46651225,
cg04051152,6.27,3.56E-10,++,LRP6,chr12,12418005,
cg27347104,6.27,3.57E-10,++,VWF;VWF,chr12,6233657,
cg09991702,-6.27,3.57E-10,--,DCBLD1,chr6,117827588,
cg12275370,6.27,3.63E-10,++,,chr2,10425661,
cg21182799,6.27,3.65E-10,++,,chr10,128327492,
cg27000690,6.27,3.65E-10,++,PACSIN1,chr6,34437227,
cg06336817,-6.27,3.68E-10,--,HSPA8;HSPA8,chr11,122934397,
cg23621337,-6.27,3.69E-10,--,,chr2,122645972,
cg17803993,6.27,3.71E-10,++,FOXP1;FOXP1,chr3,71276214,
cg14401316,-6.26,3.76E-10,--,HGD;HGD,chr3,120401165,
cg27514631,-6.26,3.78E-10,--,LINC01038,chr13,80378485,
cg10410637,-6.26,3.78E-10,--,LOC339862,chr3,18028561,
cg27583104,6.26,3.78E-10,++,HDAC4,chr2,240299910,
cg07901859,6.26,3.79E-10,++,COL23A1,chr5,177812730,
cg19474015,-6.26,3.80E-10,--,LMNB1;LMNB1,chr5,126129089,
cg02589986,-6.26,3.83E-10,--,RSAD2,chr2,7027871,
cg06470568,6.26,3.86E-10,++,NCOR2;NCOR2;NCOR2,chr12,124830716,
cg21846823,6.26,3.91E-10,++,PDIA3,chr15,44061881,
cg15288326,6.26,3.95E-10,++,KIF21B,chr1,200994098,
cg06752482,6.26,3.98E-10,++,C17orf64,chr17,58499816,
cg05602642,6.25,3.99E-10,++,CERK,chr22,47081634,
cg19218264,6.25,4.01E-10,++,,chr11,72394958,
cg16586518,6.25,4.14E-10,++,NBEAL2,chr3,47040214,
cg13706315,6.25,4.16E-10,++,,chr9,134724316,
cg05019577,-6.25,4.16E-10,--,,chr7,46972570,
cg24731961,6.25,4.16E-10,++,,chr14,105132343,
cg15920669,6.25,4.23E-10,++,,chr8,142037502,
cg16055960,-6.25,4.23E-10,--,ARHGAP25;ARHGAP25;ARHGAP25;ARHGAP25,chr2,69001086,
cg07521475,6.25,4.24E-10,++,RALGDS;RALGDS;RALGDS;RALGDS;RALGDS,chr9,135994613,
cg04486013,6.24,4.27E-10,++,AKR1A1;AKR1A1,chr1,46035287,
cg25998745,-6.24,4.29E-10,--,,chr8,142028625,
cg09836914,6.24,4.32E-10,++,,chr6,33449182,
cg07021034,-6.24,4.34E-10,--,CASC15,chr6,22024335,
cg00077570,-6.24,4.40E-10,--,MRVI1;MRVI1;MRVI1;MRVI1;MRVI1;MRVI1,chr11,10666999,
cg19421244,-6.24,4.41E-10,--,GPD2;GPD2,chr2,157332646,
cg00717678,6.24,4.44E-10,++,PRPF8;RILP,chr17,1554577,
cg09907542,6.24,4.45E-10,++,TBC1D14;TBC1D14;TBC1D14,chr4,7033761,
cg04356233,-6.24,4.48E-10,--,MFSD7;MFSD7;MFSD7,chr4,683376,
cg12636396,-6.24,4.48E-10,--,,chr20,10607844,
cg07324110,6.24,4.53E-10,++,SREBF1;SREBF1,chr17,17728004,
cg14107488,6.23,4.55E-10,++,TBC1D14;TBC1D14;TBC1D14,chr4,7033722,
cg16394974,-6.23,4.57E-10,--,GFI1;GFI1;GFI1,chr1,92941604,
cg18616925,6.23,4.57E-10,++,HPCAL1;HPCAL1;HPCAL1,chr2,10470123,
cg03589820,6.23,4.58E-10,++,ATG7;ATG7;ATG7,chr3,11585825,
cg03183354,6.23,4.64E-10,++,,chr3,52252049,
cg02003183,6.23,4.64E-10,++,CDC42BPB,chr14,103415882,
cg04546314,6.23,4.66E-10,++,WDR1;WDR1,chr4,10095403,
cg24619407,-6.23,4.68E-10,--,ALPK2,chr18,56296349,
cg02610221,-6.23,4.76E-10,--,MTMR7,chr8,17207635,
cg05476182,6.22,4.84E-10,++,PHF15,chr5,133913122,
cg20810702,6.22,4.88E-10,++,UPF1;UPF1,chr19,18974294,
cg08033031,6.22,4.89E-10,++,EPS15L1,chr19,16528764,
cg16797009,-6.22,4.90E-10,--,,chr2,173472347,
cg18006637,-6.22,4.91E-10,--,FAM13A;FAM13A,chr4,89713820,
cg16802137,-6.22,4.94E-10,--,SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1,chr12,46660469,
cg01611679,6.22,4.95E-10,++,CPSF4;CPSF4,chr7,99051465,
cg26445541,6.22,4.96E-10,++,EP400,chr12,132498837,
cg26599989,6.22,5.03E-10,++,TOLLIP,chr11,1297087,
cg16130523,6.22,5.08E-10,++,ZSCAN25,chr7,99220820,
cg06061791,-6.22,5.10E-10,--,UQCRFS1,chr19,29702439,
cg17391692,6.21,5.17E-10,++,GANAB;GANAB;GANAB;GANAB;GANAB;GANAB;GANAB;GANAB;GANAB;GANAB,chr11,62402292,
cg20601260,-6.21,5.17E-10,--,LOC101927854;THRB;THRB;THRB;THRB,chr3,24227811,
cg04878826,6.21,5.19E-10,++,,chr1,117398001,
cg26413501,6.21,5.19E-10,++,,chr6,140762703,
cg11127915,-6.21,5.23E-10,--,NFIX,chr19,13122381,
cg01373248,6.21,5.30E-10,++,SATB1,chr3,18480297,
cg21766592,-6.21,5.31E-10,--,SLC1A5;SLC1A5;SLC1A5;SLC1A5,chr19,47288066,
cg08129017,6.21,5.33E-10,++,SREBF1;SREBF1,chr17,17728660,
cg10731648,-6.21,5.35E-10,--,,chr12,46745936,
cg17501906,-6.21,5.46E-10,--,,chr1,162583287,
cg16698186,-6.20,5.51E-10,--,MSC-AS1;MSC-AS1,chr8,72836376,
cg04903269,6.20,5.55E-10,++,CELF6;CELF6;CELF6,chr15,72598763,
cg20348647,-6.20,5.56E-10,--,MARCO,chr2,119725853,
cg24315629,-6.20,5.59E-10,--,LINC00379,chr13,91836720,
cg13408712,-6.20,5.60E-10,--,PRDM10;PRDM10;PRDM10;PRDM10,chr11,129817591,
cg04879645,6.20,5.61E-10,++,LMF1,chr16,947229,
cg15726123,6.20,5.64E-10,++,ALS2CL;ALS2CL,chr3,46718979,
cg11248845,6.20,5.69E-10,++,STRN4;STRN4;STRN4;STRN4,chr19,47231864,
cg01395261,6.20,5.69E-10,++,MAST3,chr19,18260515,
cg11605450,6.20,5.75E-10,++,USP4;USP4,chr3,49332009,
cg15995125,6.20,5.75E-10,++,RCC2;RCC2,chr1,17746597,
cg01593673,6.20,5.78E-10,++,HOXB3,chr17,46648014,
cg24144883,6.20,5.80E-10,++,CCDC116,chr22,21986985,
cg05438378,-6.20,5.83E-10,--,SMAD3,chr15,67383736,
cg21337881,6.19,5.91E-10,++,C17orf87,chr17,5138645,
cg16663065,-6.19,5.93E-10,--,,chr6,14707249,
cg21197219,6.19,5.96E-10,++,ARHGEF16,chr1,3374906,
cg16931076,6.19,5.99E-10,++,FBXL14,chr12,1702001,
cg20467348,6.19,6.07E-10,++,BRD4;BRD4,chr19,15375352,
cg23598480,-6.19,6.08E-10,--,,chr2,60102800,
cg08173263,6.19,6.08E-10,++,LPHN1;LPHN1,chr19,14276911,
cg05824697,6.19,6.13E-10,++,ENDOD1,chr11,94842361,
cg11734169,-6.19,6.13E-10,--,,chr5,101012487,
cg01361579,-6.18,6.29E-10,--,SHB,chr9,38039369,
cg06684888,-6.18,6.29E-10,--,,chr18,51759874,
cg26262644,-6.18,6.34E-10,--,LOXL1-AS1;LOXL1-AS1;LOXL1-AS1;LOXL1-AS1;LOXL1-AS1,chr15,74214246,
cg09632065,-6.18,6.37E-10,--,,chr4,42675256,
cg13509702,6.18,6.38E-10,++,SCRIB;SCRIB;MIR937,chr8,144896307,
cg12670943,-6.18,6.38E-10,--,POLDIP3;POLDIP3,chr22,43006541,
cg14550975,-6.18,6.42E-10,--,,chr3,112822409,
cg24744168,6.18,6.45E-10,++,,chr11,33711967,
cg03537644,6.18,6.49E-10,++,PLD3;PLD3;PLD3,chr19,40872727,
cg27587780,-6.18,6.55E-10,--,IRF1,chr5,131817482,
cg19534753,-6.18,6.56E-10,--,MYLK;MYLK;MYLK;MYLK;MYLK;MYLK,chr3,123340306,
cg00700039,-6.18,6.56E-10,--,SMCHD1,chr18,2659555,
cg04468671,6.17,6.66E-10,++,,chr12,132337407,
cg22753611,-6.17,6.69E-10,--,CAP2,chr6,17472892,
cg01651583,6.17,6.81E-10,++,ALOX5;ALOX5;ALOX5,chr10,45899264,
cg24979194,-6.17,6.85E-10,--,ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3,chr1,44324198,
cg04021174,-6.17,6.87E-10,--,ST7-AS2;ST7;ST7,chr7,116730909,
cg03555986,-6.17,6.96E-10,--,TNFSF18,chr1,173017917,
cg22066020,-6.17,6.96E-10,--,MTURN,chr7,30184490,
cg21675424,6.17,6.98E-10,++,CCDC116,chr22,21987039,
cg14884379,-6.17,6.99E-10,--,SERPINB2;SERPINB2,chr18,61559440,
cg06453717,6.17,7.00E-10,++,AQP3,chr9,33446442,
cg13955644,-6.17,7.01E-10,--,,chr11,60809390,
cg14380013,6.17,7.07E-10,++,UNC119B,chr12,121146751,
cg11442326,6.16,7.09E-10,++,NDUFS6,chr5,1807695,
cg03557803,-6.16,7.17E-10,--,ELF1,chr13,41561838,
cg14172529,-6.16,7.26E-10,--,,chr3,107822775,
cg05195751,-6.16,7.27E-10,--,TOX,chr8,59773067,
cg19264957,6.16,7.35E-10,++,USP36,chr17,76819358,
cg26335760,6.16,7.38E-10,++,RAB6B,chr3,133606960,
cg00673191,-6.16,7.40E-10,--,DOPEY2,chr21,37536923,
cg22147960,-6.16,7.43E-10,--,,chr3,104325850,
cg15697257,6.16,7.44E-10,++,SYNPO;SYNPO;SYNPO;SYNPO;SYNPO;SYNPO,chr5,150020212,
cg05778943,6.16,7.46E-10,++,SLC39A13;SLC39A13,chr11,47430791,
cg02846961,6.15,7.54E-10,++,PTBP1;PTBP1;PTBP1;PTBP1,chr19,812000,
cg16531222,-6.15,7.55E-10,--,ETV6,chr12,11816105,
cg00785312,-6.15,7.60E-10,--,GUCY2C,chr12,14818375,
cg02908748,-6.15,7.61E-10,--,LY86,chr6,6653512,
cg17636309,6.15,7.62E-10,++,EEF1D;EEF1D;EEF1D;EEF1D;EEF1D;EEF1D;EEF1D,chr8,144672242,
cg25618372,6.15,7.64E-10,++,HOXB3,chr17,46647787,
cg25667998,-6.15,7.69E-10,--,ZSCAN5B,chr19,56705433,
cg01850331,-6.15,7.74E-10,--,SMAD3,chr15,67383558,
cg14081226,-6.15,7.77E-10,--,,chr10,5563419,
cg22904711,6.15,7.83E-10,++,KCNN4,chr19,44278628,
cg10874314,-6.15,7.91E-10,--,PTPRE,chr10,129766623,
cg10589813,-6.15,7.93E-10,--,,chr20,48809978,
cg25009141,6.15,7.96E-10,++,RCC2;RCC2,chr1,17751614,
cg17820448,6.15,7.98E-10,++,PIP5K1C;PIP5K1C;PIP5K1C,chr19,3670246,
cg15871086,-6.15,8.00E-10,--,,chr18,56526595,
cg26391876,6.14,8.09E-10,++,,chr22,42364772,
cg17320738,6.14,8.09E-10,++,,chr8,32726179,
cg21746120,6.14,8.12E-10,++,LRP5,chr11,68142234,
cg16354117,6.14,8.15E-10,++,UNC13D,chr17,73829262,
cg02420582,6.14,8.18E-10,++,NOL4L,chr20,31148602,
cg02246605,-6.14,8.20E-10,--,,chr20,39591425,
cg02737480,6.14,8.27E-10,++,UBR4,chr1,19440269,
cg00263146,-6.14,8.34E-10,--,BASP1,chr5,17221971,
cg07049121,-6.14,8.35E-10,--,,chr12,50373783,
cg06806339,-6.14,8.39E-10,--,MLLT3;MLLT3,chr9,20508649,
cg22660343,-6.14,8.47E-10,--,B4GALT5,chr20,48322124,
cg00092123,-6.14,8.54E-10,--,KIAA1211L,chr2,99415612,
cg23841186,6.13,8.59E-10,++,IGFBP6,chr12,53492662,
cg02946878,-6.13,8.67E-10,--,PPARGC1A,chr4,23883773,
cg00983060,-6.13,8.84E-10,--,,chr6,31531190,
cg23428228,6.13,8.86E-10,++,,chr12,115878452,
cg11969003,-6.13,8.88E-10,--,JARID2;JARID2,chr6,15325557,
cg03911619,-6.13,8.90E-10,--,MTMR7,chr8,17207717,
cg09485579,-6.13,8.99E-10,--,LOC101927543;SNTB1,chr8,121774821,
cg21072040,-6.13,9.01E-10,--,,chr6,135035558,
cg11380327,6.13,9.07E-10,++,,chr2,24715213,
cg05977043,-6.13,9.08E-10,--,,chr3,152975564,
cg24830274,-6.12,9.23E-10,--,,chr7,41826734,
cg18994297,6.12,9.31E-10,++,CASZ1;CASZ1,chr1,10816046,
cg12836643,6.12,9.36E-10,++,GTPBP1,chr22,39129370,
cg19645861,-6.12,9.37E-10,--,,chr2,16501343,
cg15821562,-6.12,9.39E-10,--,FOXN3,chr14,90083275,
cg27346756,-6.12,9.43E-10,--,ADGRV1;ADGRV1,chr5,90431802,
cg24026299,-6.12,9.47E-10,--,SEPHS1;SEPHS1;SEPHS1,chr10,13387206,
cg23462687,6.12,9.55E-10,++,HDAC4,chr2,240060883,
cg11858213,6.12,9.60E-10,++,CRTAP,chr3,33173098,
cg05238478,-6.12,9.62E-10,--,,chr3,59545600,
cg11668027,6.12,9.68E-10,++,,chr1,17732820,
cg26894302,6.11,9.71E-10,++,MAFG;MAFG,chr17,79879221,
cg20857280,-6.11,9.72E-10,--,GLDN,chr15,51632905,
cg21097724,-6.11,9.79E-10,--,,chr7,47140606,
cg06894612,-6.11,9.87E-10,--,RAD51L1,chr14,69042922,
cg16527877,-6.11,9.89E-10,--,,chr1,92036018,
cg12459798,-6.11,9.89E-10,--,RHOF,chr12,122230734,
cg08841552,6.11,9.92E-10,++,PNPLA7;PNPLA7,chr9,140444378,
cg15831486,-6.11,9.97E-10,--,,chr12,90252767,
cg20930793,-6.11,1.01E-09,--,HEATR5A,chr14,31872220,
cg13387216,6.11,1.02E-09,++,SRF;SRF,chr6,43141969,
cg25661986,-6.11,1.03E-09,--,TRPS1;TRPS1;TRPS1,chr8,116432059,
cg09574793,-6.11,1.03E-09,--,MAPK1;MAPK1,chr22,22222497,
cg25689961,6.10,1.04E-09,++,OSBPL5;OSBPL5;OSBPL5,chr11,3148731,
cg02582734,6.10,1.05E-09,++,PEX11G;PEX11G;PEX11G,chr19,7548860,
cg13882016,-6.10,1.06E-09,--,CD96;CD96,chr3,111335380,
cg13561409,6.10,1.06E-09,++,PIP5K1C,chr19,3677220,
cg06829760,-6.10,1.08E-09,--,FAM49A,chr2,16845412,
cg12494541,-6.10,1.08E-09,--,,chr8,103782540,
cg25441591,-6.10,1.08E-09,--,PHF21A;PHF21A,chr11,46128249,
cg04185639,-6.10,1.09E-09,--,DPYSL3;DPYSL3,chr5,146806258,
cg17562163,6.10,1.09E-09,++,LOC101928694;LIPC,chr15,58777264,
cg17723958,6.10,1.09E-09,++,CCDC92,chr12,124429295,
cg02752076,-6.10,1.10E-09,--,,chr3,154622250,
cg00013530,-6.09,1.10E-09,--,GNAI2;GNAI2,chr3,50266327,
cg15017865,6.09,1.10E-09,++,JUP;JUP,chr17,39933462,
cg08889380,6.09,1.10E-09,++,,chr7,150628473,
cg14930341,-6.09,1.13E-09,--,PTK7;PTK7;PTK7;PTK7;PTK7;PTK7;PTK7,chr6,43082234,
cg07002832,6.09,1.13E-09,++,ELF2;ELF2,chr4,140003444,
cg12141483,-6.09,1.13E-09,--,MANBA,chr4,103609154,
cg09580592,6.09,1.13E-09,++,ABR;ABR;ABR,chr17,907643,
cg16827707,6.09,1.14E-09,++,SH3D19,chr4,152149196,
cg09969502,6.09,1.16E-09,++,TUBGCP2;TUBGCP2;TUBGCP2;TUBGCP2,chr10,135107887,
cg09013732,6.09,1.16E-09,++,WDR25;WDR25,chr14,100873195,
cg07490835,6.09,1.17E-09,++,FAM65A;FAM65A;FAM65A;FAM65A,chr16,67579108,
